LAT,LON,ALT
-29.6447,-53.2515,64.7667215047351
-28.2342,-53.7757,347.13772714851
-27.6579,-54.7649,297.204179788753
-29.7902,-55.7949,94.2845369502507
-27.8345,-54.0557,365.730635478177
-28.1149,-52.9142,565.000676419722
-27.2502,-53.0341,463.683623985056
-28.7769,-52.9893,380.160294453489
-29.3919,-51.3123,282.856477831396
-29.9914,-51.0809,10.8872293139481
-30.8756,-52.2509,51.9282031003354
-27.3607,-53.183,449.903511797904
-28.6283,-51.5797,710.709633126485
-28.9698,-52.0102,427.389305630152
-28.8565,-51.2883,698.455701753485
-30.9092,-51.5046,3.97248574942522
-29.6168,-50.9291,39.9676854896889
-27.3978,-52.2975,447.255967177477
-32.2327,-53.0862,41.3600164594422
-29.4014,-51.9557,42.9987826861775
-31.4389,-52.4246,206.344162324241
-29.5439,-49.8895,7.74015532711253
-29.3348,-53.0966,390.230356789361
-30.0875,-51.7275,35.2893388298647
-28.8737,-52.1781,726.135124639709
-28.5172,-53.9883,377.371538298716
-31.3297,-54.0999,206.178015973878
-27.9205,-53.0391,394.965249163149
-27.1927,-53.7109,206.769322790989
-30.2029,-57.5497,46.1354043031157
-27.4069,-52.4084,516.833035544813
-27.6739,-51.4585,721.053448870001
-29.0947,-52.5836,616.219861037331
-29.3725,-51.4949,633.818380694591
-27.6208,-52.3798,690.493693340974
-30.3891,-51.7384,250.794537640891
-27.5086,-52.5995,741.719161639615
-29.1662,-51.5165,643.358939700232
-27.6671,-53.3102,563.827759697883
-27.6693,-54.1082,283.219330483146
-28.5791,-53.8108,410.391641845308
-28.8185,-53.391,406.520811537526
-29.3544,-51.6687,580.364193548191
-28.6697,-50.4295,1050.39059960431
-29.4856,-51.3548,46.4103636549466
-27.5399,-53.8716,446.692577317387
-29.6071,-51.9456,34.5890336215915
-29.3046,-52.4284,531.946558202754
-28.7291,-54.9035,246.981272617693
-28.3659,-53.772,419.422716467125
-27.6173,-53.7405,437.436747715569
-29.5501,-51.5945,120.130200152822
-30.1179,-51.9601,61.6757212874513
-29.8883,-54.822,105.929656430776
-30.033,-52.8928,82.8226061555969
-29.9472,-51.1016,19.5839174184951
-27.767,-51.6597,666.757858183378
-28.2905,-54.6454,261.655891329473
-27.2791,-53.4257,540.723476232987
-30.8489,-51.8043,43.7908387502369
-28.588,-52.2003,445.671957865358
-29.0474,-50.1465,1005.40231464104
-28.7926,-51.0941,799.992274058782
-27.9888,-54.8416,156.918717555833
-27.7174,-52.6248,577.696870406597
-29.6747,-51.0606,36.5372846805386
-27.6792,-53.8052,426.378857962594
-28.8871,-53.0008,510.839468931994
-29.6684,-52.7895,50.399179272043
-31.5516,-53.6773,232.50049554275
-29.356,-50.8119,823.905701236533
-31.396,-52.6783,393.486575577226
-29.9128,-51.1857,12.1962964552461
-29.3271,-52.2374,212.681339895987
-29.6961,-51.328,51.3348667079731
-29.2674,-51.9853,469.276549605932
-30.1383,-50.5152,7.22798178997399
